indicador,data,actual,forecast,diferenca,surpresa_zscore,close,retorno_pct
CPI_EUA,2026-07-14,-0.4,-0.1,-0.3,-3.022518227960944,751.8300170898438,0.355064169730146
CPI_EUA,2026-06-10,0.5,0.5,0.0,0.0,723.56591796875,-1.5765562508027298
CPI_EUA,2026-05-12,0.6,0.6,0.0,0.0,736.2831420898438,-0.1514952614586562
CPI_EUA,2026-04-10,0.9,1.0,-0.0999999999999999,-1.007506075986981,677.7140502929688,-0.0661775426558541
CPI_EUA,2026-03-11,0.3,0.3,0.0,0.0,672.7548217773438,-0.125513454866577
CPI_EUA,2026-02-13,0.2,0.3,-0.0999999999999999,-1.007506075986981,678.1461181640625,0.0704499103119093
CPI_EUA,2026-01-13,0.3,0.3,0.0,0.0,690.1026000976562,-0.1999506765381853
CPI_EUA,2025-10-24,0.3,0.4,-0.1,-1.0075060759869816,671.6851806640625,0.8172554694480416
CPI_EUA,2025-09-11,0.4,0.3,0.1,1.0075060759869816,650.423095703125,0.8310100433307488
CPI_EUA,2025-08-12,0.2,0.2,0.0,0.0,635.6467895507812,1.0645981802730908
CPI_EUA,2025-07-15,0.3,0.3,0.0,0.0,615.3220825195312,-0.4273212189356279
CPI_EUA,2025-06-11,0.1,0.2,-0.1,-1.0075060759869812,593.0167236328125,-0.2851872385381648
CPI_EUA,2025-05-13,0.2,0.3,-0.0999999999999999,-1.007506075986981,578.6981811523438,0.6604073855214221
CPI_EUA,2025-04-10,-0.1,0.1,-0.2,-2.0150121519739623,517.3018798828125,-4.3819283264456494
CPI_EUA,2025-03-12,0.2,0.3,-0.0999999999999999,-1.007506075986981,549.4632568359375,0.5306600218026203
CPI_EUA,2025-02-12,0.5,0.3,0.2,2.0150121519739623,593.2044067382812,-0.3221587301457052
CPI_EUA,2025-01-15,0.4,0.4,0.0,0.0,582.8025512695312,1.819002884394938
CPI_EUA,2024-12-11,0.3,0.3,0.0,0.0,595.2321166992188,0.7730740341302056
CPI_EUA,2024-11-13,0.2,0.2,0.0,0.0,585.1688232421875,0.0485873053142293
CPI_EUA,2024-10-10,0.2,0.1,0.1,1.0075060759869812,564.53271484375,-0.1750036884064498
CPI_EUA,2024-09-11,0.2,0.2,0.0,0.0,541.5984497070312,1.0258964597014364
CPI_EUA,2024-08-14,0.2,0.2,0.0,0.0,531.1752319335938,0.3154664674521967
CPI_EUA,2024-07-11,-0.1,0.1,-0.2,-2.0150121519739623,543.6107788085938,-0.8622676907853233
CPI_EUA,2024-06-12,0.0,0.1,-0.1,-1.0075060759869812,527.1400146484375,0.8213108427366445
CPI_EUA,2024-05-15,0.3,0.4,-0.1,-1.0075060759869816,515.8641967773438,1.238312624318172
CPI_EUA,2024-04-10,0.4,0.3,0.1,1.0075060759869816,500.6154174804688,-1.0013225036973217
CPI_EUA,2024-03-12,0.4,0.4,0.0,0.0,501.6469421386719,1.0757350110865094
CPI_EUA,2024-02-13,0.3,0.2,0.0999999999999999,1.007506075986981,479.6116333007813,-1.3773176002226497
CPI_EUA,2024-01-11,0.3,0.2,0.0999999999999999,1.007506075986981,462.40087890625,-0.0440541130695804
CPI_EUA,2023-12-12,0.1,0.0,0.1,1.0075060759869812,448.6904602050781,0.4567280477113522
CPI_EUA,2023-11-14,0.0,0.1,-0.1,-1.0075060759869812,433.8307495117188,1.9400772365121943
CPI_EUA,2023-10-12,0.4,0.3,0.1,1.0075060759869816,419.2611083984375,-0.6096529615446267
CPI_EUA,2023-09-13,0.6,0.6,0.0,0.0,430.1671142578125,0.1166038167099037
CPI_EUA,2023-08-10,0.2,0.2,0.0,0.0,429.5890808105469,0.0359088958693076
CPI_EUA,2023-07-12,0.2,0.3,-0.0999999999999999,-1.007506075986981,429.6950378417969,0.8045825761190173
CPI_EUA,2023-06-13,0.1,0.2,-0.1,-1.0075060759869812,419.1208190917969,0.6593106493236967
CPI_EUA,2023-05-10,0.4,0.4,0.0,0.0,396.2671508789063,0.4672368604914156
CPI_EUA,2023-04-12,0.1,0.2,-0.1,-1.0075060759869812,391.659912109375,-0.407599090423516
CPI_EUA,2023-03-14,0.4,0.4,0.0,0.0,374.5659484863281,1.6530221328341144
