indicador,data,actual,forecast,diferenca,surpresa_zscore,atencao_bruta,IAN,ICE,limiar_ian_indicador,opera,direcao,tamanho_posicao
CPI_EUA,2023-03-14,0.4,0.4,0.0,0.0,23.5,0.2111111111111111,0.3295265217388192,0.27222222222222214,False,,0.0
CPI_EUA,2023-04-12,0.1,0.2,-0.1,-1.0075060759869812,28.0,0.3111111111111111,0.3058651198151508,0.27222222222222214,True,comprar,0.4062691483869358
CPI_EUA,2023-05-10,0.4,0.4,0.0,0.0,22.5,0.1888888888888888,0.2828087310246589,0.27222222222222214,False,,0.0
CPI_EUA,2023-06-13,0.1,0.2,-0.1,-1.0075060759869812,20.0,0.1333333333333333,0.2536074762508516,0.27222222222222214,False,,0.0
CPI_EUA,2023-07-12,0.2,0.3,-0.0999999999999999,-1.007506075986981,23.0,0.2,0.229992570297182,0.27222222222222214,False,,0.0
CPI_EUA,2023-08-10,0.2,0.2,0.0,0.0,23.5,0.2111111111111111,0.2062117267463829,0.27222222222222214,False,,0.0
CPI_EUA,2023-09-13,0.6,0.6,0.0,0.0,19.5,0.1222222222222222,0.1695028067732586,0.27222222222222214,False,,0.0
CPI_EUA,2023-10-12,0.4,0.3,0.1,1.0075060759869816,18.0,0.0888888888888888,0.1526244417372202,0.27222222222222214,False,,0.0
CPI_EUA,2023-11-14,0.0,0.1,-0.1,-1.0075060759869812,20.5,0.1444444444444444,0.1236447223065042,0.27222222222222214,False,,0.0
CPI_EUA,2023-12-12,0.1,0.0,0.1,1.0075060759869812,16.0,0.0444444444444444,0.1020960190655711,0.27222222222222214,False,,0.0
CPI_EUA,2024-01-11,0.3,0.2,0.0999999999999999,1.007506075986981,17.0,0.0666666666666666,0.4548067324496268,0.27222222222222214,False,,0.0
CPI_EUA,2024-02-13,0.3,0.2,0.0999999999999999,1.007506075986981,25.5,0.2555555555555555,0.9331699007331132,0.27222222222222214,False,,0.0
CPI_EUA,2024-03-12,0.4,0.4,0.0,0.0,21.0,0.1555555555555555,-0.5681215813186448,0.27222222222222214,False,,0.0
CPI_EUA,2024-04-10,0.4,0.3,0.1,1.0075060759869816,28.0,0.3111111111111111,-0.1293962350265566,0.27222222222222214,True,vender,0.2708545046584046
CPI_EUA,2024-05-15,0.3,0.4,-0.1,-1.0075060759869816,25.0,0.2444444444444444,-0.2095941316630089,0.27222222222222214,False,,0.0
CPI_EUA,2024-06-12,0.0,0.1,-0.1,-1.0075060759869812,19.0,0.1111111111111111,-0.3714784598124858,0.27222222222222214,False,,0.0
CPI_EUA,2024-07-11,-0.1,0.1,-0.2,-2.0150121519739623,22.0,0.1777777777777777,-0.1619554287752315,0.27222222222222214,False,,0.0
CPI_EUA,2024-08-14,0.2,0.2,0.0,0.0,24.0,0.2222222222222222,-0.4499865076879282,0.27222222222222214,False,,0.0
CPI_EUA,2024-09-11,0.2,0.2,0.0,0.0,18.5,0.1,0.073980481469443,0.27222222222222214,False,,0.0
CPI_EUA,2024-10-10,0.2,0.1,0.1,1.0075060759869812,15.0,0.0222222222222222,0.1356518597188524,0.27222222222222214,False,,0.0
CPI_EUA,2024-11-13,0.2,0.2,0.0,0.0,14.0,0.0,0.0237308352622149,0.27222222222222214,False,,0.0
CPI_EUA,2024-12-11,0.3,0.3,0.0,0.0,14.5,0.0111111111111111,-0.5162455169277934,0.27222222222222214,False,,0.0
CPI_EUA,2025-01-15,0.4,0.4,0.0,0.0,21.0,0.1555555555555555,-0.2295482664509392,0.27222222222222214,False,,0.0
CPI_EUA,2025-02-12,0.5,0.3,0.2,2.0150121519739623,21.0,0.1555555555555555,0.7848738637000331,0.27222222222222214,False,,0.0
CPI_EUA,2025-03-12,0.2,0.3,-0.0999999999999999,-1.007506075986981,20.0,0.1333333333333333,-0.2236863150487349,0.27222222222222214,False,,0.0
CPI_EUA,2025-04-10,-0.1,0.1,-0.2,-2.0150121519739623,14.0,0.0,-0.382376744093447,0.27222222222222214,False,,0.0
CPI_EUA,2025-05-13,0.2,0.3,-0.0999999999999999,-1.007506075986981,14.0,0.0,-0.1271517655724831,0.27222222222222214,False,,0.0
CPI_EUA,2025-06-11,0.1,0.2,-0.1,-1.0075060759869812,16.0,0.0444444444444444,-0.7442877420692275,0.27222222222222214,False,,0.0
