data,close,retorno_pct
2023-01-02,106376.0,
2023-01-03,104166.0,-2.077536286380388
2023-01-04,105334.0,1.1212871762379173
2023-01-05,107518.0,2.073404598705064
2023-01-06,108836.0,1.225841254487614
2023-01-09,109227.0,0.3592561284869067
2023-01-10,110912.0,1.542658866397506
2023-01-11,111763.0,0.7672749567224413
2023-01-12,111877.0,0.10200155686586054
2023-01-13,110916.0,-0.8589790573576339
2023-01-16,109213.0,-1.5353961556493156
2023-01-17,111439.0,2.0382188933551815
2023-01-18,112452.0,0.9090174893888081
2023-01-19,113006.0,0.49265464375911616
2023-01-20,112301.0,-0.6238606799638946
2023-01-23,111709.0,-0.5271547003143362
2023-01-24,113028.0,1.1807464036022175
2023-01-25,114195.0,1.0324875252149868
2023-01-26,114109.0,-0.0753097771356015
2023-01-27,112502.0,-1.4083025878765087
2023-01-30,111888.0,-0.5457680752342209
2023-01-31,113532.0,1.4693264693264707
2023-02-01,112303.0,-1.0825141810238526
2023-02-02,109935.0,-2.108581248942598
2023-02-03,108490.0,-1.3144130622640637
2023-02-06,108456.0,-0.0313392939441437
2023-02-07,107920.0,-0.49420963339972257
2023-02-08,109882.0,1.8180133432172063
2023-02-09,107783.0,-1.9102309750459567
2023-02-10,108150.0,0.3404989655140467
2023-02-13,108846.0,0.643550624133149
2023-02-14,107659.0,-1.090531576723075
2023-02-15,109442.0,1.6561550822504323
2023-02-16,109905.0,0.42305513422635777
2023-02-17,109303.0,-0.5477457804467512
2023-02-22,107152.0,-1.9679240277028054
2023-02-23,107720.0,0.5300880991488732
2023-02-24,105873.0,-1.7146305235796522
2023-02-27,105711.0,-0.15301351619393389
2023-02-28,104932.0,-0.7369147960004208
2023-03-01,104385.0,-0.521289978271644
2023-03-02,103326.0,-1.0145135795372906
2023-03-03,103866.0,0.5226177341617788
2023-03-06,104700.0,0.802957656981107
2023-03-07,104228.0,-0.45081184336198676
2023-03-08,106540.0,2.218213915646472
2023-03-09,105071.0,-1.3788248545147375
2023-03-10,103618.0,-1.3828744372852642
2023-03-13,103121.0,-0.4796463934837569
2023-03-14,102932.0,-0.18327983630880285
2023-03-15,102675.0,-0.24967939999223088
2023-03-16,103435.0,0.7401996591185789
2023-03-17,101982.0,-1.404746942524293
2023-03-20,100923.0,-1.0384185444490157
2023-03-21,100998.0,0.07431408103206749
2023-03-22,100221.0,-0.7693221647953385
2023-03-23,97926.0,-2.2899392342922154
2023-03-24,98829.0,0.9221248697996343
2023-03-27,99670.0,0.8509647977820167
2023-03-28,101185.0,1.5200160529748263
2023-03-29,101793.0,0.6008795770124031
2023-03-30,103713.0,1.8861807786390017
2023-03-31,101882.0,-1.7654488829751291
2023-04-03,101506.0,-0.36905439626234715
2023-04-04,101869.0,0.35761432821705963
2023-04-05,100978.0,-0.8746527402840876
2023-04-06,100822.0,-0.15448909663491328
2023-04-10,101847.0,1.0166431929539144
2023-04-11,106214.0,4.287804255402716
