indicador,data,actual,forecast,diferenca,surpresa_zscore,atencao_bruta,IAN,ICE
Payroll_EUA,2023-01-06,223.0,200.0,23.0,0.4820679659842927,8.0,0.0392156862745098,0.506530163097263
Payroll_EUA,2023-02-03,517.0,185.0,332.0,6.9585462915993554,9.5,0.06862745098039216,0.46592392755844697
IPCA_BR,2023-02-09,0.53,0.555,-0.025000000000000022,-0.0005239869195481447,13.0,0.13725490196078433,0.4638386593426222
Payroll_EUA,2023-03-10,311.0,205.0,106.0,2.2217045388841314,10.5,0.08823529411764706,0.41419620747527286
IPCA_BR,2023-03-10,0.84,0.78,0.05999999999999994,0.0012575686069155449,10.5,0.08823529411764706,0.41419620747527286
CPI_EUA,2023-03-14,0.4,0.4,0.0,0.0,24.0,0.35294117647058826,0.4114756343917531
Payroll_EUA,2023-04-07,236.0,239.0,-3.0,-0.06287843034577731,8.5,0.049019607843137254,0.32090349742861657
IPCA_BR,2023-04-11,0.71,0.77,-0.06000000000000005,-0.0012575686069155473,28.5,0.4411764705882353,0.3735566266501657
CPI_EUA,2023-04-12,0.1,0.2,-0.1,-0.002095947678192577,28.5,0.4411764705882353,0.3735566266501657
Payroll_EUA,2023-05-05,253.0,180.0,73.0,1.530041805080581,9.0,0.058823529411764705,0.34433706693139465
CPI_EUA,2023-05-10,0.4,0.4,0.0,0.0,21.5,0.30392156862745096,0.33445863838431433
IPCA_BR,2023-05-12,0.61,0.55,0.05999999999999994,0.0012575686069155449,21.5,0.30392156862745096,0.33445863838431433
Payroll_EUA,2023-06-02,339.0,180.0,159.0,3.3325568083261974,6.5,0.00980392156862745,0.3044378269698235
IPCA_BR,2023-06-07,0.23,0.37,-0.13999999999999999,-0.002934326749469607,8.0,0.0392156862745098,0.2943101390593543
CPI_EUA,2023-06-13,0.1,0.2,-0.1,-0.002095947678192577,20.0,0.27450980392156865,0.32970267107520435
Payroll_EUA,2023-07-07,209.0,225.0,-16.0,-0.3353516285108123,7.0,0.0196078431372549,0.2528321804880428
IPCA_BR,2023-07-11,-0.08,-0.1,0.020000000000000004,0.00041918953563851546,23.0,0.3333333333333333,0.309121463870894
CPI_EUA,2023-07-12,0.2,0.3,-0.09999999999999998,-0.0020959476781925762,23.0,0.3333333333333333,0.309121463870894
Selic_BR,2023-08-03,13.25,13.5,-0.25,-0.005239869195481442,7.5,0.029411764705882353,0.21157161170158062
Selic_BR,2023-08-03,13.25,13.5,-0.25,-0.005239869195481442,7.5,0.029411764705882353,0.21157161170158062
Payroll_EUA,2023-08-04,187.0,200.0,-13.0,-0.272473198165035,7.5,0.029411764705882353,0.21157161170158062
CPI_EUA,2023-08-10,0.2,0.2,0.0,0.0,23.0,0.3333333333333333,0.20106038270947293
IPCA_BR,2023-08-11,0.12,0.06,0.06,0.0012575686069155462,23.0,0.3333333333333333,0.20106038270947293
Payroll_EUA,2023-09-01,187.0,170.0,17.0,0.3563111052927381,8.0,0.0392156862745098,0.20964648884571174
IPCA_BR,2023-09-12,0.23,0.26,-0.03,-0.0006287843034577731,20.5,0.28431372549019607,0.09114240809544068
CPI_EUA,2023-09-13,0.6,0.6,0.0,0.0,20.5,0.28431372549019607,0.09114240809544068
Selic_BR,2023-09-21,12.75,12.75,0.0,0.0,9.5,0.06862745098039216,0.178627352687792
Selic_BR,2023-09-21,12.75,12.75,0.0,0.0,9.5,0.06862745098039216,0.178627352687792
Payroll_EUA,2023-10-06,336.0,170.0,166.0,3.4792731457996777,9.5,0.06862745098039216,0.09126234068378723
IPCA_BR,2023-10-11,0.26,0.35,-0.08999999999999997,-0.0018863529103733186,17.0,0.21568627450980393,0.13039030064125573
CPI_EUA,2023-10-12,0.4,0.3,0.10000000000000003,0.0020959476781925775,17.0,0.21568627450980393,0.13039030064125573
Selic_BR,2023-11-02,12.25,12.25,0.0,0.0,9.5,0.06862745098039216,0.07341352416929282
Selic_BR,2023-11-02,12.25,12.25,0.0,0.0,9.5,0.06862745098039216,0.07341352416929282
Payroll_EUA,2023-11-03,150.0,180.0,-30.0,-0.628784303457773,9.5,0.06862745098039216,0.07341352416929282
IPCA_BR,2023-11-10,0.24,0.35,-0.10999999999999999,-0.002305542446011834,9.0,0.058823529411764705,0.0627261269846589
CPI_EUA,2023-11-14,0.0,0.1,-0.1,-0.002095947678192577,21.5,0.30392156862745096,-0.0014503778673360076
Payroll_EUA,2023-12-08,199.0,180.0,19.0,0.39823005885658963,8.5,0.049019607843137254,-0.017157684116368473
CPI_EUA,2023-12-12,0.1,0.0,0.1,0.002095947678192577,15.5,0.18627450980392157,0.04994955854444231
IPCA_BR,2023-12-12,0.28,0.3256,-0.045599999999999974,-0.0009557521412558145,15.5,0.18627450980392157,0.04994955854444231
Selic_BR,2023-12-14,11.75,11.75,0.0,0.0,15.5,0.18627450980392157,0.04994955854444231
Selic_BR,2023-12-14,11.75,11.75,0.0,0.0,15.5,0.18627450980392157,0.04994955854444231
Payroll_EUA,2024-01-05,216.0,170.0,46.0,0.9641359319685854,6.0,0.0,0.6893524961513257
CPI_EUA,2024-01-11,0.3,0.2,0.09999999999999998,0.0020959476781925762,16.5,0.20588235294117646,0.738031575434248
IPCA_BR,2024-01-11,0.56,0.52,0.040000000000000036,0.0008383790712770315,16.5,0.20588235294117646,0.738031575434248
Selic_BR,2024-02-01,11.25,11.25,0.0,0.0,8.5,0.049019607843137254,0.09603884504665745
Selic_BR,2024-02-01,11.25,11.25,0.0,0.0,8.5,0.049019607843137254,0.09603884504665745
Payroll_EUA,2024-02-02,353.0,187.0,166.0,3.4792731457996777,8.5,0.049019607843137254,0.09603884504665745
IPCA_BR,2024-02-08,0.42,0.42,0.0,0.0,10.5,0.08823529411764706,0.24940529900846828
CPI_EUA,2024-02-13,0.3,0.2,0.09999999999999998,0.0020959476781925762,24.5,0.3627450980392157,0.9434483115141704
Payroll_EUA,2024-03-08,275.0,198.0,77.0,1.6138797122082842,9.0,0.058823529411764705,0.36052787889427046
CPI_EUA,2024-03-12,0.4,0.4,0.0,0.0,20.5,0.28431372549019607,-0.2931688899746858
IPCA_BR,2024-03-12,0.83,0.5,0.32999999999999996,0.006916627338035503,20.5,0.28431372549019607,-0.2931688899746858
Selic_BR,2024-03-21,10.75,10.75,0.0,0.0,9.5,0.06862745098039216,-0.041506909737582816
