indicador,data,actual,forecast,diferenca,surpresa_zscore,atencao_bruta,IAN,ICE
IPCA_BR,2023-02-09,0.53,0.555,-0.025000000000000022,-0.11895389854487898,57.0,0.3258426966292135,0.4562789953034133
IPCA_BR,2023-03-10,0.84,0.78,0.05999999999999994,0.285489356507709,51.0,0.19101123595505617,0.4092706928101534
IPCA_BR,2023-04-11,0.71,0.77,-0.06000000000000005,-0.2854893565077095,67.5,0.5617977528089888,0.36990581293365343
IPCA_BR,2023-05-12,0.61,0.55,0.05999999999999994,0.285489356507709,56.0,0.30337078651685395,0.33203500482792286
IPCA_BR,2023-06-07,0.23,0.37,-0.13999999999999999,-0.6661418318513216,49.5,0.15730337078651685,0.2931481170650044
IPCA_BR,2023-07-11,-0.08,-0.1,0.020000000000000004,0.09516311883590312,51.5,0.20224719101123595,0.28721670337169786
IPCA_BR,2023-08-11,0.12,0.06,0.06,0.2854893565077093,48.0,0.12359550561797752,0.20269673536503585
IPCA_BR,2023-09-12,0.23,0.26,-0.03,-0.14274467825385465,56.5,0.3146067415730337,0.12473568436461435
IPCA_BR,2023-10-11,0.26,0.35,-0.08999999999999997,-0.4282340347615638,42.5,0.0,0.12730915325054717
IPCA_BR,2023-11-10,0.24,0.35,-0.10999999999999999,-0.523397153597467,48.5,0.1348314606741573,0.06791679410337917
IPCA_BR,2023-12-12,0.28,0.3256,-0.045599999999999974,-0.21697191094585894,58.5,0.3595505617977528,0.046688291770852826
IPCA_BR,2024-01-11,0.56,0.52,0.040000000000000036,0.19032623767180634,69.0,0.5955056179775281,0.7362280059896981
IPCA_BR,2024-02-08,0.42,0.42,0.0,0.0,53.0,0.23595505617977527,0.2883657955684466
IPCA_BR,2024-03-12,0.83,0.5,0.32999999999999996,1.5701914607924008,59.0,0.3707865168539326,-0.22217350493944965
IPCA_BR,2024-04-10,0.16,0.335,-0.17500000000000002,-0.8326772898141521,59.5,0.38202247191011235,-0.24840232978890925
IPCA_BR,2024-05-10,0.38,0.35,0.030000000000000027,0.14274467825385476,53.5,0.24719101123595505,0.1004229008231706
IPCA_BR,2024-06-11,0.46,0.26,0.2,0.9516311883590309,62.5,0.449438202247191,-0.4791399209114573
IPCA_BR,2024-07-10,0.21,0.21,0.0,0.0,50.0,0.16853932584269662,0.0726621669975593
IPCA_BR,2024-08-09,0.38,0.2,0.18,0.8564680695231278,46.5,0.0898876404494382,-0.4013917791525642
IPCA_BR,2024-09-10,-0.02,0.16,-0.18,-0.8564680695231278,55.0,0.2808988764044944,-0.0001734010477727543
IPCA_BR,2024-10-09,0.44,0.23,0.21,0.9992127477769824,50.0,0.16853932584269662,-0.019262188834329032
IPCA_BR,2024-11-08,0.56,0.32,0.24000000000000005,1.1419574260308374,56.5,0.3146067415730337,0.3344883195610523
IPCA_BR,2024-12-10,0.39,0.3,0.09000000000000002,0.428234034761564,66.5,0.5393258426966292,-0.43140397400319114
IPCA_BR,2025-01-10,0.52,0.45,0.07,0.33307091592566085,87.0,1.0,0.7312853444730465
IPCA_BR,2025-02-11,0.16,0.42,-0.26,-1.2371205448667402,70.0,0.6179775280898876,0.8266197445824768
IPCA_BR,2025-03-12,1.31,0.431,0.879,4.182419072837941,69.5,0.6067415730337079,-0.34525942434289997
IPCA_BR,2025-04-11,0.56,0.32,0.24000000000000005,1.1419574260308374,56.0,0.30337078651685395,-0.682030103690107
IPCA_BR,2025-05-09,0.43,0.32,0.10999999999999999,0.523397153597467,53.5,0.24719101123595505,0.7984594830283442
IPCA_BR,2025-06-10,0.26,0.25,0.010000000000000009,0.047581559417951586,53.5,0.24719101123595505,-0.7391334297422577
IPCA_BR,2025-07-10,0.24,0.209,0.031,0.1475028341956498,51.0,0.19101123595505617,-0.301965797107963
IPCA_BR,2025-08-12,0.26,0.2,0.06,0.2854893565077093,57.5,0.33707865168539325,-0.1561694006150132
IPCA_BR,2025-09-10,-0.11,0.1736,-0.2836,-1.349413025093106,55.5,0.29213483146067415,-0.19841213341687886
IPCA_BR,2025-10-09,0.48,0.2115,0.26849999999999996,1.2775648703719988,51.0,0.19101123595505617,-0.1360504406042229
IPCA_BR,2025-11-11,0.09,0.3,-0.21,-0.9992127477769824,55.0,0.2808988764044944,-0.16711274517209634
